node,x,y
611,-497.529638,-296.406716
632,-102.564756,-82.359153
633,96.981706,-82.359153
634,296.528167,-82.359153
645,-303.611567,-82.359153
646,-503.158028,-82.359153
650,-101.871718,202.525349
652,-305.42555,-388.033675
671,-102.564756,-295.840278
675,177.685724,-296.168228
680,-102.216065,-385.711768
684,-305.569538,-295.821338
692,95.477648,-295.827775
7,-102.140153,119.727044
L611CAP,-591.552268,-296.394266
L675CAP,375.26425,-296.626671
LOAD611,-497.577422,-322.467031
LOAD634,296.529235,-104.537935
LOAD645,-303.611567,-102.823074
LOAD646,-503.140358,-104.938533
LOAD652,-305.36199,-423.410687
LOAD671,-130.812161,-270.135734
LOAD675,177.693667,-331.639128
LOAD692,95.481356,-329.791363
RG60,-102.134091,-103.005827
